step,accepted_step,attempt_step,attempt_index,attempt_number,time,dt,dt_base,dt_retry_attempts,dt_recovery_success_steps,dt_recovery_window_steps,dt_restore_attempt,dt_snap_applied,dt_snap_target_time,time_grid_error,dt_event,g,mass,lumen_mass_def,ratio,max_u,max_p,ch_converged,ch_snes_reason,ch_snes_its,ch_ksp_reason,ch_ksp_its,biot_converged,biot_iterations,biot_iterations_u,biot_iterations_tp,biot_snes_reason,biot_snes_its,biot_ksp_reason,biot_ksp_its,biot_u_snes_reason,biot_u_snes_its,biot_u_ksp_reason,biot_u_ksp_its,biot_tp_snes_reason,biot_tp_snes_its,biot_tp_ksp_reason,biot_tp_ksp_its,split_iterations,outer_omega,split_pf_increment,split_u_increment,split_theta_increment,split_p_increment,split_increment,step_failed,constraint_mismatch_max,constraint_mismatch_boundary_max,constraint_mismatch_interior_max,min_J,min_Je,min_pf,max_pf,area_ref,area_def,area_ratio,flow_potential_min,flow_potential_max,flow_potential_range,p_eff_min,p_eff_max,p_eff_range,theta_eq_min,theta_eq_max,theta_eq_range,storage_strain_min,storage_strain_max,storage_strain_range,energy_total_p,energy_total_theta,energy_total_cross,mu_elastic_l2,mu_storage_l2,lumen_n_components,lumen_component_event,lumen_total_volume,lumen_total_volume_ref,lumen_total_volume_def,lumen_interface_measure_ref,lumen_interface_measure_def,lumen_characteristic_length_ref,lumen_characteristic_length_def,lumen_active_cell_count,lumen_largest_volume,lumen_second_volume,lumen_largest_fraction,lumen_second_fraction,lumen_min_gap,lumen_edge_components,lumen_second_edge_touch,lumen_largest_edge_count,lumen_largest_edge_touch,lumen_largest_cx,lumen_largest_cy,lumen_largest_cz,lumen_cx,lumen_cy,lumen_cz,lumen_rmax,lumen_edge_count,lumen_edge_touch,lumen_any_component_edge_touch,lumen_edge_stop_trigger,lumen_steady_stop_trigger,lumen_amr_eligible,lumen_center_delta,mesh_num_cells,mesh_num_vertices,amr_event
0,True,0,0,0,0.0,0.0,0.001,0,0,0,False,False,,0.0,initial_state,1.0,0.734055680222959,0.7340556802229583,1.000375447762369,0.0,0.0,True,2,1,4,,,,,,,,,,,,,,,,,,0,,,,,,0.0,False,0.0,0.0,0.0,1.0,1.0,-0.9890442369437414,0.5795859912114573,3.140290796624407,3.140290796624407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022102070043942712,0.029945221184718707,0.007843151140775995,0.0,0.0,0.0,10.543397147979135,10.543397147979135,10.543397147979135,0.0,2.2718679246641272e-20,8,none,0.03229613408974467,0.03229613408974467,0.03229613408974467,2.193900872723137,2.193900872723137,0.02944174414740782,0.02944174414740782,30,0.006459226810097791,0.005382689016593098,0.19999999975690147,0.16666666671731215,0.23456885413140563,0,False,0,False,-0.0008450171323492692,-0.44043451600558076,,-0.010570717518681955,-0.023665861241827336,,0.5150296924843095,0,False,False,False,False,False,,2972,1550,0
1,True,1,1,1,0.001,0.001,0.001,0,0,0,False,False,,,none,1.0025,0.7340556802229576,0.6960063933320102,0.9999409474995049,0.018799138473767442,0.03413340693011565,True,2,1,4,1,True,1,,,2,1,2,159,,,,,,,,,8,0.8,1.0952036329879555e-06,1.1841702985748083e-06,1.8383389397858663e-08,1.2825897169659818e-06,2.060850461535091e-06,False,0.0021540328019045082,0.0,0.0021540328019045082,0.8970337915097812,0.896726936900561,-0.9850022734479081,0.46460997413259075,3.140290796624407,3.043630731267223,0.9692193902994313,0.007349834649893788,0.03413340693011565,0.02678357228022186,0.007349834649893788,0.03413340693011565,0.02678357228022186,0.02267695012933705,0.02992501136723954,0.0072480612379024895,0.01160873468067005,0.03866250240779466,0.02705376772712461,9.588056916616582,9.588057147385268,9.588056915865804,0.21086349872694257,0.0008921669030538116,0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,False,0,False,nan,nan,,nan,nan,,0.0,0,False,False,False,False,False,,2972,1550,0
2,True,2,2,1,0.002,0.001,0.001,0,0,4,False,False,,,component_split;component_dt_reduce,1.005,0.7340556802229581,0.6977272481383274,0.9999220663938276,0.01801372109161132,0.0363658317528892,True,2,1,4,1,True,2,,,2,2,2,270,,,,,,,,,7,0.8,1.3143635567560985e-06,4.593843163639107e-07,1.0272706655185383e-07,5.844098586539734e-07,1.5134970242930726e-06,False,0.002677582746136258,0.0,0.002677582746136258,0.9058324080040824,0.9050088208316716,-0.9805304830286014,0.49312991175977794,3.140290796624407,3.053459192168809,0.972349183537736,0.006129541464485621,0.0363658317528892,0.030236290288403578,0.006129541464485621,0.0363658317528892,0.030236290288403578,0.022534350441201112,0.02990265241514301,0.007368301973941897,0.01181691808897969,0.040466761490652085,0.028649843401672394,9.257981031613923,9.257981313705992,9.257981033854149,0.19422730982929848,0.0007699673123622474,4,split,0.022523813383967275,0.02476036947242859,0.022523813383967275,1.4459801207385548,1.3805839458539366,0.034247178252743725,0.03262940069904341,23,0.005881331870976601,0.005877469386631433,0.2611161693944332,0.2609446849180116,0.4586691359899902,0,False,0,False,0.3887096550002435,0.00024192596223759807,,-0.00026531995040703733,-0.016982139243264794,,0.4532748887713496,0,False,False,False,False,False,,2972,1550,0
3,True,3,3,1,0.0025,0.0005,0.001,0,1,4,False,False,,,reduced_hold,1.00625,0.7340556802229597,0.6986783154140276,0.9999780930887044,0.01744740954035856,0.03806262063819779,True,2,1,4,1,True,2,,,2,2,2,255,,,,,,,,,6,0.8,3.0854694962244784e-06,1.3165226671500538e-06,2.631106741498202e-07,1.5329522107611627e-06,3.697637577235056e-06,False,0.002914744967459866,0.0,0.002914744967459866,0.9061029428390981,0.9051559520249965,-0.9786203411226779,0.5397235388621907,3.140290796624407,3.05909797085795,0.9741448066358269,0.005222369206552293,0.03806262063819779,0.0328402514316455,0.005222369206552293,0.03806262063819779,0.0328402514316455,0.02230138230568905,0.02989310170561339,0.00759171939992434,0.011894427266144375,0.04171438827185549,0.02981996100571111,9.090085743831358,9.090086090026656,9.090085749342727,0.1838792994364739,0.0006963377565356097,4,none,0.07180983887194986,0.07858725963495755,0.07180983887194986,2.5429305570653717,2.4359051441048134,0.061808419751461806,0.05895947060643014,73,0.019685410830450452,0.01770597105025149,0.2741325024493253,0.24656748056244063,0.3636364580702222,0,False,0,False,-0.005217246127552749,-0.36289466229089995,,-0.0015149602490432713,-0.013137189634115252,,0.46554845403811274,0,False,False,False,False,False,0.0040429244827073964,2972,1550,0
4,True,4,4,1,0.003,0.0005,0.001,0,2,4,False,False,,,reduced_hold,1.0075,0.7340556802229583,0.6996114850947464,1.0000572627416902,0.016917208936128462,0.03998277299186188,True,2,1,4,1,True,2,,,2,2,2,293,,,,,,,,,6,0.8,2.657057729825642e-06,1.2836143782325147e-06,2.762561729607858e-07,1.3147039266114152e-06,3.242280916172726e-06,False,0.0033326149344378234,0.0,0.0033326149344378234,0.9047222481277033,0.9037783875444337,-0.9771412320409051,0.5886389129477775,3.140290796624407,3.0646083514406657,0.9758995424038134,0.004477413143386349,0.03998277299186188,0.035505359848475526,0.004477413143386349,0.03998277299186188,0.035505359848475526,0.02205680543526111,0.029885706160204525,0.007828900724943414,0.011967602888073268,0.04319811371929669,0.03123051083122342,8.947570073570935,8.947570486659203,8.947570078267407,0.17421346535638765,0.0006387705614138986,4,none,0.11232787935266979,0.12272530956592594,0.11232787935266979,3.2908513089906797,3.159660385415975,0.07458575185736142,0.07110123598798206,114,0.029562816493552243,0.027593143922191057,0.2631832512455386,0.24564822269597336,0.31143233630704154,0,False,0,False,0.0015183047133008577,0.36092050296925565,,0.0019568954228191132,0.008834486101607423,,0.4697210143912531,0,False,False,False,False,False,0.022244287276556817,2972,1550,0
5,True,5,5,1,0.0035,0.0005,0.001,0,0,8,False,False,,,component_gap;component_dt_reduce,1.00875,0.7340556802229585,0.7005457483711051,1.0001410713010852,0.016520909157367564,0.042052269792195035,True,2,1,4,1,True,2,,,2,2,2,258,,,,,,,,,6,0.8,2.411279595226677e-06,1.2451794084420093e-06,2.8945748597722946e-07,1.174315376421934e-06,2.9711181876616363e-06,False,0.0036486046188401663,0.0,0.0036486046188401663,0.9033263892184776,0.9023823170810019,-0.9761099071733572,0.6274919294161899,3.140290796624407,3.0699679346821194,0.9776062579879927,0.003939772849079198,0.042052269792195035,0.03811249694311584,0.003939772849079198,0.042052269792195035,0.03811249694311584,0.021862540352919048,0.029880549535866788,0.00801800918294774,0.012021512370876872,0.04512966337206683,0.03310815100118995,8.817639911217439,8.817640393620403,8.817639914857782,0.16506533298087553,0.0005978158161222223,4,none,0.14719478128446586,0.16040413268039616,0.14719478128446586,3.839326527227362,3.695871693526389,0.08355847388486379,0.07965362084527401,149,0.037546062697369514,0.03753772906565805,0.25507740403383394,0.25502078768073533,0.2696305710553831,0,False,0,False,0.00265417332392958,-0.34397371386293313,,-0.0019897199976907196,0.0012840577907583827,,0.4699110459470317,0,False,False,False,False,False,0.00851966788992838,2972,1550,0
6,True,6,6,1,0.00375,0.00025,0.001,0,1,8,False,False,,,component_gap,1.009375,0.7340556802229586,0.7010739238688652,1.0001964385645714,0.016290521927968468,0.04345869699888646,True,2,1,4,1,True,2,,,2,2,2,256,,,,,,,,,6,0.8,1.1477823740644281e-06,6.695316273652019e-07,1.4855893191088538e-07,6.250236852016454e-07,1.4759408326788779e-06,False,0.0038025287976402727,0.0,0.0038025287976402727,0.9022639323249592,0.901435474940779,-0.9756593917834062,0.6483317849265311,3.140290796624407,3.0728420760211104,0.9785215048632441,0.0036914087620952005,0.04345869699888646,0.03976728823679126,0.0036914087620952005,0.04345869699888646,0.03976728823679126,0.021758341075367345,0.02987829695891703,0.008119955883549686,0.012017388917575422,0.04643960348135791,0.034422214563782486,8.747933229087796,8.747933751830487,8.747933229518498,0.15983189345861137,0.0005780840001420113,4,none,0.16722006664931272,0.1819348887466749,0.16722006664931272,4.138494828089718,3.9917801097730425,0.08792321667858842,0.08378220345349645,169,0.043554400423683234,0.04254743673084226,0.2604615659855213,0.2544397785707804,0.24722410260153,0,False,0,False,0.0030485120896227894,-0.3399032525636144,,0.0016183614142602737,-0.0008469114021170689,,0.4700213309611512,0,False,False,False,False,False,0.0041903795981092845,2972,1550,0
7,True,7,7,1,0.004,0.00025,0.001,0,2,8,False,False,,,component_gap,1.01,0.7340556802229592,0.701604284345561,1.0002485573181248,0.0160625339514404,0.04484127433477141,True,2,1,4,1,True,2,,,2,2,2,250,,,,,,,,,6,0.8,1.0471041400002809e-06,6.492488580947827e-07,1.5315636312040837e-07,5.822599225325954e-07,1.3712894109906345e-06,False,0.003911381111003882,0.0,0.003911381111003882,0.9018167737848957,0.9010025718088777,-0.975262253411049,0.6648439287788167,3.140290796624407,3.075632662737732,0.9794101444502598,0.0034966947449379857,0.04484127433477141,0.041344579589833425,0.0034966947449379857,0.04484127433477141,0.041344579589833425,0.021675780356105918,0.02987631126705524,0.008200530910949324,0.012009595481117302,0.04779917196144193,0.035789576480324624,8.679991312916036,8.679991876877175,8.67999131259218,0.15500865938513755,0.0005648667493306288,4,none,0.1823593797462564,0.19808295579645147,0.1823593797462564,4.28807897851797,4.141049352581943,0.09238773669458493,0.08807399488371487,184,0.04660235707839774,0.04658693669539226,0.2555522898972485,0.2554677294922562,0.23175208910939737,0,False,0,False,0.33401959905670925,-0.0008479263798623682,,0.00375607922553081,0.0022162416239514095,,0.4701457021277497,0,False,False,False,False,False,0.0037353371871540284,2972,1550,0
8,True,8,8,1,0.00425,0.00025,0.001,0,3,8,False,False,,,component_gap,1.010625,0.7340556802229581,0.7021362154672441,1.0002982870011665,0.015842828427724484,0.04617541591453068,True,2,1,4,1,True,2,,,2,2,2,298,,,,,,,,,6,0.8,9.87724639314929e-07,6.338727114980529e-07,1.574808916578054e-07,5.434104346881125e-07,1.302877472848833e-06,False,0.004086000274083035,0.0,0.004086000274083035,0.9020820144794068,0.9012708579293938,-0.9749431512347029,0.6777096801636266,3.140290796624407,3.078359377923037,0.9802784446689008,0.003337018113323482,0.04617541591453068,0.0428383978012072,0.003337018113323482,0.04617541591453068,0.0428383978012072,0.021611451599181868,0.029874715756173512,0.008263264156991645,0.012001381237982138,0.04918246711747954,0.0371810858794974,8.612444253078142,8.612444853809906,8.61244425204375,0.15046167619956044,0.0005570704409274936,4,none,0.19257129516065807,0.20884833382963336,0.19257129516065807,4.5872472793745445,4.435630678494757,0.09105606090548889,0.08682927372393756,194,0.049647196345108155,0.04865330091979013,0.25781202906533174,0.25265084746508937,0.21693708698501712,0,False,0,False,-0.003733121275605814,0.33280943994057305,,-0.0027419242223362503,0.004414572191449174,,0.4702797177284024,0,False,False,False,False,False,0.006859789070553645,2972,1550,0
9,True,9,9,1,0.0045000000000000005,0.00025,0.001,0,4,8,False,False,,,component_gap,1.01125,0.73405568022296,0.7026695057609043,1.0003461561799158,0.0156991049105032,0.047437165961212675,True,2,1,4,1,True,2,,,2,2,2,302,,,,,,,,,6,0.8,9.520410793302789e-07,6.216400692024163e-07,1.6162669587610865e-07,5.082423631409415e-07,1.2558869697871955e-06,False,0.004238026738027877,0.0,0.004238026738027877,0.9024740408837117,0.9017182522632142,-0.9746990230328744,0.6879412421311925,3.140290796624407,3.0810320881730306,0.9811295474562179,0.0032009574384152502,0.047437165961212675,0.04423620852279742,0.0032009574384152502,0.047437165961212675,0.04423620852279742,0.021560293789344036,0.02987349511516437,0.008313201325820335,0.011994176335718651,0.05056717293779181,0.03857299660207316,8.544325957015001,8.544326589691904,8.544325955296069,0.14622322181663197,0.000554091558273622,4,none,0.209932237137378,0.2271494764860504,0.209932237137378,4.736831429802324,4.583508730990075,0.09590777288670783,0.09160328885946332,211,0.054752909879034195,0.0517281096797656,0.260812301272264,0.2464038414734519,0.1968744226447169,0,False,0,False,-0.006591995197600352,0.3281300279982776,,-0.0038691296489955017,0.004605058440523676,,0.47042452707209037,0,False,False,False,False,False,0.0011431872484315674,2972,1550,0
